feature,importance
Contract,0.17399176746924042
tenure,0.14994467409330728
TotalCharges,0.12857606431968227
MonthlyCharges,0.12462232623777594
OnlineSecurity,0.07947590045169457
TechSupport,0.07145240375468039
InternetService,0.04646771914756685
PaymentMethod,0.0415784773274739
OnlineBackup,0.03255129056870355
PaperlessBilling,0.021051891431263754
DeviceProtection,0.018536306857805846
MultipleLines,0.018141244223146658
Dependents,0.01767222585732104
gender,0.016488711539408344
StreamingMovies,0.014233476794577041
StreamingTV,0.013942135615358916
Partner,0.013668102771155103
SeniorCitizen,0.012310625797102803
PhoneService,0.005294655742735363
